,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,NaturalGas_Percentage,Electricity_Percentage,SteamUse_Percentage,ParkingGFA_Percentage,Neighborhood_EUI/SF,PrimaryPropertyType_EUI/SF
1534,Other,BALLARD,0.6931471805599453,0.6931471805599453,10.328003371335093,9.653550746326605,9.61587214452889,Library,9.61587214452889,Other - Services,8.03947991910045,none,0.0,14.242898103805567,3.6768068728796672,19,39.34189936609967,60.65811693917952,0.0,3.9501260794020934,4.449931191363842,4.666034874744712
1537,Other,BALLARD,0.6931471805599453,1.0986122886681098,9.977156142461329,0.0,9.977156142461329,Social/Meeting Hall,9.977156142461329,none,0.0,none,0.0,12.634316646152696,2.0294631718735947,99,31.60426649914732,68.39570293825594,0.0,0.0,4.449931191363842,4.666034874744712
1538,Other,BALLARD,0.6931471805599453,1.0986122886681098,10.308985993422082,0.0,10.308985993422082,Strip Mall,10.159253170667593,Parking,0.0,none,0.0,13.906211723470731,2.6490076604684267,95,10.902873055003205,89.09714977728247,0.0,0.0,4.449931191363842,4.666034874744712
1557,Other,BALLARD,0.6931471805599453,1.0986122886681098,10.311881700150172,0.0,10.311881700150172,Other,10.327283617329016,none,0.0,none,0.0,15.478421557311044,3.6315151367243654,81,0.0,99.99998104136736,0.0,0.0,4.449931191363842,4.666034874744712
1558,Worship Facility,BALLARD,0.6931471805599453,0.6931471805599453,10.607723030081495,0.0,10.607723030081495,Worship Facility,10.607723030081495,none,0.0,none,0.0,13.575036048823213,3.4091655513113324,48,65.50493920577001,34.495100539671554,0.0,0.0,4.449931191363842,3.5353565939790244
1559,Retail Store,BALLARD,0.6931471805599453,0.6931471805599453,10.064798252418377,0.0,10.064798252418377,Retail Store,10.064798252418377,none,0.0,none,0.0,13.944755213144713,2.659559991941776,27,10.20099431662152,89.79896174539256,0.0,0.0,4.449931191363842,4.202548085123781
1560,Retail Store,Ballard,0.6931471805599453,0.6931471805599453,10.017753298664472,0.0,10.017753298664472,Retail Store,10.046201654735302,none,0.0,none,0.0,14.15501729297753,3.4901235908565567,56,33.95625612536196,66.04376167768824,0.0,0.0,4.384024637835557,4.202548085123781
1563,Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,0.6931471805599453,0.6931471805599453,10.15979505022877,0.0,10.15979505022877,Supermarket/Grocery Store,10.165390172000421,none,0.0,none,0.0,15.957728991899275,5.474537011150523,62,45.329585799441745,54.67041420055826,0.0,0.0,4.351925326643182,5.471408967115091
1565,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,0.6931471805599453,1.3862943611198906,10.18074042949737,0.0,10.18074042949737,Office,9.727167947937808,Fitness Center/Health Club/Gym,9.172015257654515,none,0.0,14.004506768778514,2.2428350885882717,31,0.0,99.99996895786268,0.0,0.0,4.351925326643182,4.121695953477062
1566,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,0.6931471805599453,1.3862943611198906,10.160452652325848,0.0,10.160452652325848,Office,10.160452652325848,Parking,8.294299608857235,none,0.0,13.663269948623721,2.766319109226186,41,22.482225888596403,77.51770133379523,0.0,0.0,4.351925326643182,4.121695953477062
1567,Warehouse,MAGNOLIA / QUEEN ANNE,0.6931471805599453,0.6931471805599453,10.150386692204734,0.0,10.150386692204734,Non-Refrigerated Warehouse,9.933094897288786,Office,8.517393171418904,none,0.0,14.363979666135036,3.562749176969724,49,27.793356425027294,72.20666524375027,0.0,0.0,4.351925326643182,3.558324320392524
1568,Other,MAGNOLIA / QUEEN ANNE,0.6931471805599453,0.6931471805599453,10.050613617426421,0.0,10.050613617426421,Manufacturing/Industrial Plant,9.23024103368252,none,0.0,none,0.0,12.311589227359041,0.9360933591703349,58,0.0,100.00004215860967,0.0,0.0,4.351925326643182,4.666034874744712
1569,Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,0.6931471805599453,1.6094379124341003,10.640292702435536,9.035986984831405,10.415891929415332,Office,10.415891929415332,Parking,9.035986984831405,none,0.0,14.073724877154426,2.305580601973844,15,0.0,99.99998068924339,0.0,3.049320224032392,4.351925326643182,4.121695953477062
1570,Warehouse,MAGNOLIA / QUEEN ANNE,0.6931471805599453,0.6931471805599453,10.948786964973817,0.0,10.948786964973817,Non-Refrigerated Warehouse,10.948786964973817,none,0.0,none,0.0,14.143623758557998,3.6503984672956546,63,43.424433099802904,56.57555789667212,0.0,0.0,4.351925326643182,3.558324320392524
1573,Retail Store,BALLARD,0.6931471805599453,0.6931471805599453,10.398519104003336,0.0,10.398519104003336,Retail Store,10.398519104003336,none,0.0,none,0.0,14.517601994146451,3.85946575468947,34,34.772607243103856,65.2274051455976,0.0,0.0,4.449931191363842,4.202548085123781
1576,Self-Storage Facility,MAGNOLIA / QUEEN ANNE,0.6931471805599453,1.3862943611198906,10.341419850781794,0.0,10.341419850781794,Self-Storage Facility,10.341419850781794,none,0.0,none,0.0,11.489568793622837,0.5187937934151675,43,0.0,99.99959214006047,0.0,0.0,4.351925326643182,2.971743123813331
